ExhaustiveStarScheduler, TercioScheduler, 
5, 37.81871586317514, 37.81871586317514, 
5, 51.95195056361416, 51.95195056361416, 
5, 45.75508944891493, 45.75508944891493, 
5, 36.20663839342113, 36.20663839342113, 
5, 42.89660254812972, 42.89660254812972, 
5, 33.04335305796913, 33.04335305796913, 
5, 34.154088375159226, 31.946562585177304, 
5, 41.5698604382661, 41.5698604382661, 
5, 31.193940907775662, 31.193940907775662, 
5, 51.980928309869554, 51.980928309869554, 
5, 38.65282728584722, 32.506473840516556, 
5, 32.288956809901656, 32.288956809901656, 
5, 36.80583710845356, 36.80583710845356, 
5, 39.76256333602914, 39.76256333602914, 
5, 31.357695686218577, 31.357695686218577, 
5, 32.78434272300616, 32.78434272300616, 
5, 43.765517112796765, 43.765517112796765, 
5, 41.67152924572585, 41.67152924572585, 
5, 32.24208549450911, 32.24208549450911, 
5, 30.816245128313682, 30.816245128313682, 
5, 35.390752886624185, 35.390752886624185, 
5, 39.4591563316182, 37.09609899627936, 
5, 35.00028484868128, 32.24941499685349, 
5, 32.06488856790233, 31.372651197984847, 
5, 39.53634547150614, 39.53634547150614, 
5, 42.291162167133905, 42.291162167133905, 
5, 32.87914706900126, 32.87914706900126, 
5, 42.94835003924664, 42.94835003924664, 
5, 43.30766927347176, 43.30766927347176, 
5, 42.48413911237267, 42.48413911237267, 
5, 42.16917436706963, 42.16917436706963, 
5, 33.30252868312827, 33.30252868312827, 
5, 41.263196793699926, 41.263196793699926, 
5, 31.45053019626085, 31.45053019626085, 
5, 35.33317649705769, 35.33317649705769, 
5, 36.83730100187522, 31.680503129554836, 
5, 35.23582569841199, 35.23582569841199, 
5, 41.483966920922796, 41.483966920922796, 
5, 31.747901593926684, 31.631225321465315, 
5, 39.01555371664527, 39.01555371664527, 
5, 35.68747842432535, 35.68747842432535, 
5, 41.57575599607196, 41.57575599607196, 
5, 38.67547770173172, 38.67547770173172, 
5, 33.0588502619265, 32.8261666480733, 
5, 31.22222210217342, 31.22222210217342, 
5, 51.33803862441099, 51.33803862441099, 
6, 41.67802256989515, 41.52992250922968, 
6, 39.537492648255736, 39.537492648255736, 
6, 41.574673623270776, 39.237875770164976, 
6, 52.7596782910091, 52.7596782910091, 
6, 41.75445243110429, 35.41193019785893, 
6, 41.936009737502886, 41.33006552542072, 
6, 52.5078829062279, 52.5078829062279, 
6, 39.16293635080262, 39.16293635080262, 
6, 36.6798413646838, 36.396695445191604, 
6, 34.42507568035509, 34.42507568035509, 
