MILP, Buffered, Tercio
4, 35.583982157585595, 35.58398215758559, 35.58398215758559
4, 41.59934599635329, 41.59934599635369, 41.59934599635369
4, 42.98330765634345, 42.9833076563461, 42.9833076563461
4, 41.859745527278, 41.85974552727879, 41.85974552727879
4, 42.324177541444286, 42.32417754144828, 42.32417754144828
4, 41.552177611335956, 41.552177611336575, 41.552177611336575
4, 41.89322622513486, 41.89322622513486, 41.89322622513486
4, 41.5049605583408, 41.504960558340876, 41.50496055834088
4, 42.54939698297785, 42.54939698297784, 42.54939698297784
4, 41.407285665805006, 41.40728566581322, 41.40728566581322
4, 31.906312468383476, 31.906312468383504, 42.778105599542684
4, 31.489391354341656, 31.489391354341656, 31.489391354341656
4, 41.637615854795186, 41.63761585479569, 41.63761585479569
4, 42.4171394774112, 42.41713947741141, 42.41713947741141
4, 42.53267214199256, 42.53267214199256, 42.53267214199256
4, 41.598776630474504, 41.59877663047503, 41.59877663047503
4, 32.33192475426243, 32.33192475426266, 32.33192475426266
4, 42.30245569298903, 42.30245569298978, 42.30245569298978
4, 34.78066777275381, 34.7806677727538, 34.7806677727538
4, 41.12186549385747, 41.12186549385754, 41.12186549385754
4, 32.84942087131508, 32.84942087131508, 32.84942087131508
4, 33.941043701009335, 33.94104370101425, 44.82036736719265
4, 42.252079694029106, 42.25207969403358, 42.25207969403358
4, 41.131482152190706, 41.13148215219075, 41.13148215219075
4, 41.80374259686151, 41.80374259686227, 41.80374259686227
4, 41.62583474088927, 41.62583474089323, 41.62583474089323
4, 41.79467997732114, 41.794679977325316, 41.794679977325316
4, 41.83007890652499, 41.83007890653199, 41.83007890653199
4, 42.13017687853187, 42.130176878532104, 42.130176878532104
4, 31.177337345130066, 31.177337345130063, 31.177337345130063
4, 41.6140769327003, 41.61407693270033, 41.61407693270033
4, 42.762248995791936, 42.762248995792106, 42.762248995792106
4, 42.31883153243909, 42.31883153243909, 42.31883153243909
4, 40.726630459276514, 40.72663045927652, 40.72663045927652
4, 41.697383213824324, 41.697383213824324, 41.697383213824324
4, 41.94862802341573, 41.94862802341574, 41.94862802341574
4, 43.36841984820899, 43.36841984820895, 43.36841984820895
4, 30.95304456857536, 30.95304456857536, 30.95304456857536
4, 40.823238022259865, 40.823238022259865, 40.823238022259865
4, 32.13097321748154, 32.13097321748154, 32.13097321748154
4, 41.65041150451145, 41.650411504511446, 41.650411504511446
4, 41.35514559410443, 41.35514559410923, 41.35514559410923
